id	items
1514732868FCFEE628B5974AB0E0311C	5904012,3686750,4188137,7227997,5840258,3549333,4143845,6144372,3665616,5263715,4136176,3686734
15147329950EC2625780E7F86A7954EF	6409745,6415506,6409767
1514733050AB364FAFBB7DD30D556F10	6907996,6238908
1514734644C06DDD70E53AF0ACC9C647	6774946,6399813,7645448,7181966,6991156,5654935,7381677,6903408,7008101,7221451
15147367581E821A1C13BB0F6B9E45E4	7603958,1739903
15147369887697D8721D7743FF5A461C	7632036,6158942
1514740526E2E61D2B3B5B74F69343C6	7116026,7516669
1514741706C01C372EADB90946113B6A	7492260,7488484,7488252,7488265,7497522,7488426,7492306,7492732,7331868
15147426820C76302069EF65E6205AC4	7278976,6820032
15147439745C29BC42E68CAC5E91DE61	7474381,7632036,6262979
1514754338DD65500C37BFA5D32E6721	5872202,6825229,6753874
1514756584C587A4CC735F665243232F	5762964,7038013
1514760629DA88F85B33BAF2F077976C	5885190,7244827
15147616878EA90FBE7B0CE8E49429F8	5909330,7488228,7102836,7406380,7102808
1514763305465A16F1F2BBACDD424663	7516818,6583461,7070974,6635067,5893461,6069827
15147633877D601A66602003F0AB3966	6704334,6635253
151476506676F59B98831C867144F915	7065911,7425211
1514765168631840BE0AE15D747CBB62	1552364,6992489,7185397,6992494,7137941,6992507
1514766417C69F9CF307318CEBD3F1D4	3529341,6027708,961775,5486647,5989408,6094284
15147666648D7CFC3864ABB6C0CA4F56	6951050,7642936,7437144,7069607,6094258,6499015,6688812,6534605,7645073,6171168,7013261,7265602,7018431,6898586,7033230,7191665
15147678563040DC1146C5CBA719B95F	3628877,6988577
15147680301C9C1D005C84E6904C8206	6807278,7642265,7029447
1514768766F76A2F1FF468A4A5BF0293	7109112,6426958
15147688411F05126BD7B4E39969F488	7244827,6765595,7149309,6911385,6823522,6094284,6055811,7141931
151476889867A435764B3E64C8A5293F	7545278,7519111,5983750,5756029,6456155
15147691319849EF91280948775D424B	6415400,7297396
15147697420D100378334075E2A53C5B	6671927,6671926,7090324
15147699954271F7BBFF8587360F8A02	7591778,5467178,7244827,7137730
1514770595791509E51B9A28D26C0AFA	5776935,5804189,7510155,7328435,6269312,6911385,7430590,6428776,5763428,6946136,7118102
151477077167CE697847C335B99FED0B	7493200,7342606,7533602
1514770928854E93119FB6B14AC161F4	7241335,6940758
151477233854C8CE2127CAD54B26413A	6197443,6869919
1514772635E732756D7E29B8BDA2E2C5	961775,7134026
15147727833B152D2D1DF4A183F5756C	6969603,7000950
151477290061AD3854D34C3DD0C2291A	7176202,7367893
151477331558FCB7E0B84C1AC8FB5C90	7265607,7250685,7135293
1514773790486B08922F76D6B03CB51D	7508487,7204034
1514773860118425BA1C48CD59D10296	6215780,6167661,6167659,6528293,6167658,6167662
1514774016CB625D89AC10A011E23022	7579422,7451100
1514774070B3BAFF9DAAE683F3B2AE20	6078114,5756029,6094284
1514774112D39AE9E3F49DBFD22FB299	5943627,7495295
15147742403AD95584C28BD1C524B8F9	7561696,6692071
1514774305FFBF950458A2E6A7F9CB4F	6920444,6826334,7362691,7486938
1514774324414923EC2BFBC7829AD034	6052113,5463109,7583317
1514775103FEE77DFC2B44A143AD5391	6240973,6240978
1514775636C40CF6F165E5BDD74604B2	7283613,7491668
1514775737247755FB719A4B0B1E43C2	6952761,6934791
15147758909BD2576CA99DEEE1A8A6FF	6427524,6063843,7177905,7024493,7624318,7244827,6814842
15147759338AC1C5A975A6AAB20B0289	6914058,6997281,6997282,6914057
1514776246612D9F3A94F02AEDAD986E	7417491,6746541,7544884,6826164
151477635261FA7EE50F30C1D4F0BE18	7155903,7418157
1514776982C1AB9901D0C238623C03AF	7580184,7590491
15147770394E10CFA584596F7C4EC67F	7486824,6837232,6226737,6226716,5449311,6700246,6649643,7203139
15147771905DB82C235CF573D61E36FB	7185397,7103088
1514777265F02AD20FED4A9A28049B79	7533469,7642946,7597466,7430590,7473716,6816134,7629705,7533466,7221673,7533464,6454793,6981559,7348383,7628954,7472004,7533472,7194103,7629006,7517934,6591144,7533458,7322329,7617770,6233418,7488046
1514777320D6FFCFDF0A9454040CECDF	6994974,6994986,6994982,6994993,6276172
151477737855461D97D9F3B11A1B1C5F	6700208,7011400,7174291,7196616,7194107
1514777466E2D350711E43B73420808F	7238250,7238248
15147777831BD63016DA318FE6A564BA	7600456,7640125,7208361,7597433
151477781701AB223161FDD6ECC44325	7077224,7234202,6990443
15147779375D23D5B0003CAC05834B1E	6033732,4146193,5573791,4497164,6505688
151477799460F2758A65885D872C84DA	6759367,7504378,3628877,7515478,7571002
15147782653EE4379901138F74AC19E3	5524348,7013407,6539317
15147787671118FD1140094FBB01CDD8	7575469,6499015,7428224,7436525
151477929354867F732989F08BB1ABED	5923018,7105256,7108177,7632855,5865330
1514779455DE10516BD433D09AF757FB	7412324,6704337,7091424,7412318
15147796178180E5ECD2C44DDBFCFDEE	7412324,6704337,7091424
15147796221C1166918EE1F4E17B14F1	6657499,6657355
15147797853CFBD11D8FF98723034592	7571594,7144159,7467978
151477982598D22A3ED3AF3837AAA7FF	7412314,7412315,6704337
1514779982B5DFB2046B193B2EC071F5	5990977,6103406
1514780204DB9ACF8A364AB958A7204A	6905532,7020992
1514780258F5C1D3504F5BD4EF377432	5762255,7083943
1514780308E6E56D6A57E654D3DDA6EF	7412324,6704337
1514780622A658768A60C3E7CF6ED859	6785470,7412315,7412314,7367549,6704337,6785484
1514780755E4A7143F12BC27E301767B	7322887,7590403,7113385,7365157,7538709
15147810300DD23BAC09C6A221246DEE	5584312,5896086,5780983,6040294
151478103447737E06F3A21F5D3FB4F7	6775015,7143250
1514781566B7EC79F1093B6FE897D9DE	7531862,6692976,7189769
1514781654D4996B65C92D1E63E01A08	5711481,6537491
1514782269E4436DEAF4E83078BC7415	5756029,7177905
1514782874C377603D883DD26B2F07BE	7622780,6656589,6961896
1514783145246FFDCFE5F2B0FFAE855E	7623137,7375818,6074536,7368196,5441122
15147834890AED045FDA3C66B15166BA	7153254,7492946,6858444,6536865,7619409
15147837910F5E416FDB90CD42B2CC60	7182408,6898144
1514783801BD4A9E5D365E7FEC08D827	3954420,6308542,7045423,6822705
1514783975E8CD103E4355F7F88F77C7	6064818,6063294,6063251
15147841060E1079FC180C85602A6DDA	6896752,7590203,7195717,6660508,6911385,6976449,7114092,7436343,7127153,7258170
1514784552DA14ED7798DD169A7741AD	7314459,6176411,6147229
15147848745228AD190E730774CE1C1B	7040376,7185162
1514785070271D8973986583C6184A20	6422545,6780283,7073321,7113961,7458994,6769800,7354915,6925235,7490705,7430590,6773668,6980194,6428776,7298234,6838734,7438050
1514785085D39DE0113550E7252D1472	6088482,7083893,7109112
1514785151CDFEDB8FE50FF28B582385	7440682,7022348,7174291,7453880
151478532201C82D83E45C992E66A96C	7174291,7185947,7508906,7365114,6844603,7570802
151478534455CA0C25C6956D6688C469	7121411,7031652,6988577,6399090,6043434,7174291,6428771,6641879,6911385,6820032,5488515,5756029,5762964,7276988
